region.code,reforest.area,afforest.area,total.area,time.period,x
EA,5057154.11,4460626,9517780.11,2000-2010,a
EU,392593.8918,932432.8,1325026.692,2000-2010,a
LATAM,9721434.593,2917,9724351.593,2000-2010,a
NA,370187.3,0,370187.3,2000-2010,a
OC,4652.7,0,4652.7,2000-2010,a
SA,82914.33471,51743.56,134657.8947,2000-2010,a
SEA,2477788,0,2477788,2000-2010,a
SSA,29714,6639,36353,2000-2010,a
EA,1110,0,1110,2011-2013,a
EU,0,0,0,2011-2013,a
LATAM,754387.95,859,755246.95,2011-2013,a
NA,1427000,0,1427000,2011-2013,a
OC,0,0,0,2011-2013,a
SA,9700,1590,11290,2011-2013,a
SEA,0,0,0,2011-2013,a
SSA,0,709010,709010,2011-2013,a
EA,0,0,0,2014-2019,a
EU,0,0,0,2014-2019,a
LATAM,235647.72,0,235647.72,2014-2019,a
NA,0,0,0,2014-2019,a
OC,0,0,0,2014-2019,a
SA,0,0,0,2014-2019,a
SEA,0,0,0,2014-2019,a
SSA,0,0,0,2014-2019,a
EA,5058264.11,4460626,9518890.11,2000-2019,b
EU,392593.8918,932432.8,1325026.692,2000-2019,b
LATAM,10711533.26,3776,10715309.26,2000-2019,b
NA,1797187.3,0,1797187.3,2000-2019,b
OC,4652.7,0,4652.7,2000-2019,b
SA,92614.33471,53333.56,145947.8947,2000-2019,b
SEA,2481430,0,2481430,2000-2019,b
SSA,29714,715649,745363,2000-2019,b
